"","i","effect_size","rho_predictors","n","causal_struc","shap_time","megashap_time","ji_shap","ji_mshap","cor_shap","cor_mshap"
"297",297,0.0742754239703734,0.233479645583724,200,"suppression",0.887797832489014,0.16370415687561,0.428571428571429,0.428571428571429,0.399864327221676,0.423924880142984
"298",298,0.272381898168343,0.273725704088562,100,"interaction",0.823796033859253,0.154268026351929,0.428571428571429,0.428571428571429,-0.228761611963828,-0.204379795752294
"299",299,0.426401054181955,0.856994287333175,100,"interaction",0.845493078231812,0.172245979309082,0.428571428571429,0.25,0.056817105098208,-0.0750027045424655
"300",300,0.160800778876655,0.769333984614692,400,"multiplicative",1.06630992889404,0.170135021209717,0.428571428571429,0.428571428571429,0.0461155515079687,0.0525205310955094
"301",301,0.527202964587653,0.758881726755621,200,"multiplicative",0.914798974990845,0.296377182006836,0.666666666666667,0.666666666666667,0.407871057462017,0.41600002992198
"302",302,0.341250773607791,0.475308104246875,200,"interaction",0.884093046188354,0.166396856307983,0.666666666666667,0.666666666666667,0.68860333403906,0.70224359469419
"303",303,0.441331645566268,0.164634297798372,800,"suppression",1.25903010368347,0.187135934829712,0.666666666666667,0.666666666666667,0.771704893922669,0.761527998114801
"304",304,0.0773314192157554,0.221862210088256,1600,"signal_diff",1.91786217689514,0.219835996627808,0.666666666666667,0.666666666666667,0.966967648318188,0.961811682870507
"305",305,0.599395197600639,0.561796987534914,1600,"signal_diff",1.81936812400818,0.218753814697266,0.428571428571429,0.428571428571429,0.96513391884701,0.967313786177756
"306",306,0.354432013938636,0.61698166393493,400,"multiplicative",1.12964701652527,0.168329000473022,0.428571428571429,0.428571428571429,0.483464595852746,0.493463353499701
"307",307,0.331243100645618,0.370824575478097,400,"interaction",1.03692507743835,0.168006896972656,1,1,0.833462926256962,0.829296822936321
"308",308,0.359815489044791,0.582474904147624,100,"suppression",0.837172031402588,0.160715818405151,0.666666666666667,0.666666666666667,0.589546440078903,0.554729136727508
"309",309,0.210123762885514,0.105475595579232,100,"local_only",0.825346946716309,0.150250911712646,0.666666666666667,0.666666666666667,0.001883500617068,0.00613523635927085
"310",310,0.488973876719029,0.164346715105725,800,"signal_diff",1.27759599685669,0.18790602684021,0.666666666666667,0.666666666666667,0.960182513915303,0.96302009979067
"311",311,0.260442610218204,0.214289268961215,1600,"suppression",1.91243004798889,0.216577053070068,0.666666666666667,0.666666666666667,0.719982390011772,0.721573928349935
"312",312,0.0833288255921555,0.206029409043053,400,"local_only",1.01974487304688,0.16240406036377,0.428571428571429,0.428571428571429,0.771791380261446,0.766134241124044
"313",313,0.443828813013712,0.549496342450203,1600,"multiplicative",1.88608598709106,0.207750082015991,0.428571428571429,0.428571428571429,0.472306183602874,0.466281880485477
"314",314,0.0500922681342791,0.332885065963514,100,"suppression",0.846204996109009,0.162994861602783,0.428571428571429,0.428571428571429,0.255709633657359,0.244123756172274
"315",315,0.273526397508916,0.0971509230107516,1600,"local_only",1.9466700553894,0.205003976821899,0.666666666666667,0.666666666666667,0.949641748608787,0.945995569868658
"316",316,0.502316811373899,0.564429650199918,200,"suppression",0.903484106063843,0.161432981491089,0.666666666666667,0.666666666666667,0.634807859387002,0.668264874274594
"317",317,0.213015584998588,0.477463576968858,1600,"multiplicative",2.07074904441833,0.207304000854492,1,1,0.622460092678236,0.622982085495581
